1988,2076,2805,3018,1656,1639,122,105
1984,2078,2805,3014,1655,1645,122,104
1991,2077,2805,3013,1656,1641,123,104
1991,2079,2804,3005,1657,1633,127,104
1989,2074,2805,3003,1657,1636,131,103
1980,2078,2808,2998,1656,1634,134,103
1992,2079,2803,3005,1657,1640,142,105
2002,2075,2805,3003,1661,1639,160,107
1987,2080,2805,3006,1656,1639,186,108
1994,2076,2806,3003,1657,1633,241,108
1994,2069,2804,3015,1657,1631,269,107
1998,2062,2806,3061,1655,1630,313,100
1999,2057,2804,3078,1657,1626,331,94
2010,2053,2802,3100,1658,1623,374,91
2011,2048,2805,3105,1656,1624,395,91
2015,2044,2806,3114,1656,1622,442,94
2019,2043,2805,3111,1657,1628,470,101
2027,2035,2806,3102,1657,1613,511,113
2040,2030,2805,3109,1659,1618,553,123
2023,2033,2810,3104,1657,1618,592,136
2034,2027,2801,3075,1656,1611,648,158
2036,2027,2803,3074,1657,1629,676,175
2035,2026,2806,3066,1656,1623,708,193
2033,2022,2805,3053,1654,1625,731,204
2038,2019,2806,3051,1655,1628,746,221
2038,2020,2806,3067,1655,1624,750,244
2038,2023,2806,3069,1654,1633,743,262
2040,2020,2805,3075,1652,1633,738,275
2041,2024,2805,3079,1653,1635,747,280
2043,2020,2805,3068,1653,1634,778,305
2045,2019,2804,3053,1654,1634,803,328
2043,2016,2805,3051,1656,1638,810,350
2050,2016,2802,3056,1657,1639,801,376
2049,2016,2806,3036,1656,1637,783,397
2054,2014,2807,3036,1654,1642,780,421
2051,2017,2804,3028,1651,1647,783,434
2051,2019,2804,3018,1654,1641,781,449
2053,2007,2804,3007,1654,1645,774,463
2055,2000,2808,2982,1654,1647,778,493
2060,2001,2806,2974,1653,1648,796,516
2058,1999,2803,2973,1655,1656,811,539
2065,1991,2804,2963,1654,1659,831,568
2063,1995,2805,2951,1649,1663,857,581
2056,1990,2806,2960,1648,1671,893,603
2060,1998,2804,2971,1649,1689,925,624
2066,1993,2806,2970,1649,1679,939,643
2065,1986,2804,2975,1648,1677,965,672
2066,1980,2804,2958,1646,1682,978,697
2066,1981,2804,2944,1646,1683,996,725
2080,1977,2802,2948,1648,1686,1017,749
2064,1977,2804,2958,1649,1685,1042,776
2066,1980,2804,2957,1647,1686,1063,788
2067,1983,2804,2993,1644,1689,1081,812
2063,1985,2802,3050,1644,1686,1098,840
2067,1979,2803,3083,1647,1677,1119,874
2064,1981,2803,3084,1645,1681,1143,893
2066,1981,2804,3068,1645,1686,1173,915
2065,1976,2806,3045,1645,1684,1195,947
2067,1977,2804,3053,1642,1683,1203,963
